region,ad_id,is_success,is_sever
JP,AD00J7PK9M,no,False
JP,AD08G8PWN9,no,True
JP,AD078R8788,yes,
JP,AD0887MMMZ,no,False
JP,AD08KXGULD,yes,
JP,AD087XGUWA,yes,
JP,AD008KFC89,yes,
JP,AD08XW8WHX,no,True
JP,AD08V88NY8,yes,
JP,AD07FWHWTY,yes,
JP,AD07SYHP88,no,True
JP,AD07Y8P8N9,yes,
JP,AD07F8QPXN,yes,
JP,AD008P0OWE,yes,
JP,AD008APP8C,no,False
JP,AD07TYWQN6,no,False
JP,AD08AFUTJT,no,True
JP,AD098K8C88,no,False
JP,AD008PCO8G,yes,
JP,AD00888SPU,yes,
JP,AD00MTHUY6,yes,
JP,AD079QRQTC,yes,
JP,AD088W7PW9,yes,
JP,AD096HSSV8,no,False
JP,AD08RM8N8F,yes,
JP,AD008D7V8W,yes,
JP,AD0887ZNVM,yes,
JP,AD00U6ZLZW,yes,
JP,AD08KKJ8N8,no,True
JP,AD08MSLTJU,yes,
JP,AD07FMVNG8,yes,
JP,AD09FF6QV8,no,False
JP,AD0888WY6M,yes,
JP,AD0889PLVW,no,False
JP,AD078ZPDNL,yes,
JP,AD008NE8LS,yes,
JP,AD078M8JH8,yes,
JP,AD0988ZP8Q,yes,
JP,AD077LQQTT,yes,
JP,AD08EPNPF6,yes,
JP,AD007STDM8,yes,
JP,AD07SK6T88,no,False
JP,AD07988CCL,yes,
JP,AD07JMX9YF,yes,
JP,AD07F888Q6,yes,
JP,AD08GP8H88,yes,
JP,AD08C8LR9R,yes,
JP,AD088XSXNJ,yes,
JP,AD086LSHJZ,yes,
JP,AD008T9VRC,yes,
JP,AD007NSOJK,yes,
JP,AD07CN8WJF,yes,
JP,AD07N8JYMJ,yes,
JP,AD096HSQLM,no,False
JP,AD0798JV8N,yes,
JP,AD00A8ZSAM,yes,
JP,AD0988YPZ7,yes,
JP,AD07D9KNTN,no,False
JP,AD0868JK9T,yes,
JP,AD008P088X,no,True
JP,AD078V8FZ6,no,True
JP,AD099SC8C8,yes,
JP,AD008N8APG,no,False
JP,AD0060RXHS,yes,
JP,AD008TM6F7,no,True
JP,AD08FDZG8G,yes,
JP,AD08C7ZY8X,yes,
