region,ad_id,is_success,is_sever
JP,AD086YNWLX,yes,
JP,AD08LXCMMF,yes,
JP,AD007QR878,yes,
JP,AD07XC6Q7K,yes,
JP,AD08DAZUNK,yes,
JP,AD087CGG8K,yes,
JP,AD000FHPE6,yes,
JP,AD0998JS8N,yes,
JP,AD07MV8WZ9,yes,
JP,AD07TJYH99,yes,
JP,AD07FCN87V,yes,
JP,AD00FYNLF7,yes,
JP,AD07G8K8RG,yes,
JP,AD07SLLHHG,yes,
JP,AD07SHZJQ9,yes,
JP,AD07TJMHRZ,yes,
JP,AD07S9RD7P,no,False
JP,AD07FQCG98,yes,
JP,AD08M88UR8,yes,
JP,AD07VPVD87,yes,
JP,AD080AZ9CV,yes,
JP,AD00888RIR,yes,
JP,AD098L7RWG,yes,
JP,AD07M9VJJL,yes,
JP,AD008GQXJG,yes,
JP,AD0888MQFL,yes,
JP,AD008FT8H0,yes,
JP,AD007V8JO0,yes,
JP,AD07XH6GQG,yes,
JP,AD08CSGLH8,no,True
JP,AD099WF7D8,yes,
JP,AD000PA7SV,yes,
JP,AD008IIJH8,yes,
JP,AD000F8F9J,yes,
JP,AD0886D98T,yes,
JP,AD07NL8CMS,yes,
JP,AD08TX8NJC,yes,
JP,AD088679ND,yes,
JP,AD088JR87M,no,True
JP,AD08CHF6DC,yes,
JP,AD08MTL76F,yes,
JP,AD00YC8M8K,yes,
JP,AD08JIMSFH,yes,
JP,AD08M09QA0,no,True
JP,AD008889AE,yes,
JP,AD08KSCPDP,yes,
JP,AD08J6VSMS,yes,
JP,AD07FDW68H,no,False
JP,AD0000999X,yes,
JP,AD06XK78H,yes,
JP,AD08X88GD8,yes,
JP,AD007A8XON,yes,
JP,AD076PLLQ8,yes,
JP,AD007JQJMQ,yes,
JP,AD008HTQ8O,yes,
JP,AD07878N99,yes,
JP,AD00NPJLG0,yes,
JP,AD07JK88Y8,no,True
JP,AD07C6SMM8,yes,
JP,AD000EGNC8,no,False
JP,AD07TFS8ZP,no,True
JP,AD09HZD8ZW,no,True
JP,AD0887889J,yes,
JP,AD08M08YP8,no,True
JP,AD0098ZQ7X,yes,
JP,AD008M7AX8,no,True
JP,AD078YNCX,yes,
JP,AD06Y8FVH9,yes,
JP,AD099DV6WK,yes,
JP,AD06Y6FS6C,no,False
JP,AD88680609,no,False
JP,AD08ZN8RD8,yes,
JP,AD08MM78ZY,yes,
JP,AD00KVHU6H,no,False
JP,AD07F8CCSJ,yes,
JP,AD07CK87M,yes,
JP,AD07XDQ8L8,yes,
JP,AD00AH6LJA,no,False
JP,AD08GT8MSH,yes,
JP,AD077GNKGT,no,True
JP,AD07CY8TMP,yes,
JP,AD08KDMHGQ,no,False
JP,AD00MTV888,yes,
JP,AD008TZ8QF,yes,
JP,AD00PWYIE6,yes,
JP,AD09G66XVR,yes,
JP,AD087WJ898,no,True
JP,AD00EN6QDS,yes,
JP,AD08FJR6OS,yes,
JP,AD80889607,yes,
JP,AD07MXSZX,yes,
JP,AD08K88DS8,yes,
JP,AD09HRFXN8,no,True
JP,AD08ZND6Y7,yes,
JP,AD07QVDWJF,yes,
JP,AD00AV8Y7O,yes,
JP,AD098TTCH8,yes,
JP,AD08NJML6P,yes,
JP,AD08YDD688,yes,
JP,AD096PH68F,no,True
JP,AD008I8ICI,yes,
JP,AD00XX6Y8D,yes,
JP,AD000TGHEM,no,True
JP,AD07SLNRP7,no,True
JP,AD00J968XV,yes,
JP,AD0768VSGD,yes,
JP,AD00A0HZN8,no,True
JP,AD08K9S867,yes,
JP,AD08NYVPRY,yes,
JP,AD08QEKQ,yes,
JP,AD00EOI6XV,no,False
JP,AD099M89ZY,yes,
JP,AD08L8JTY8,yes,
JP,AD08N89IQP,yes,
JP,AD0797D6F8,yes,
JP,AD00KHO0ZQ,yes,
JP,AD07RT8K8C,yes,
JP,AD00P88UIN,yes,
JP,AD06XCKFST,yes,
JP,AD08M098TD,yes,
JP,AD0086UP8Q,yes,
JP,AD08D88M88,yes,
JP,AD07GWPH88,no,True
JP,AD06Y66KDQ,no,False
JP,AD07DPM8Z8,yes,
JP,AD00N8OJ8A,yes,
JP,AD07R8D8MP,yes,
JP,AD088ZQHKD,yes,
JP,AD07MW988W,no,True
JP,AD008XON8C,yes,
JP,AD008LLT8K,yes,
JP,AD08VFRD8G,yes,
JP,AD08YNDNHV,yes,
JP,AD08LXQLD8,yes,
JP,AD087DD98R,yes,
JP,AD08XMZ9CD,yes,
JP,AD00HEDAZ8,yes,
JP,AD00WJOLW,no,True
JP,AD008O0SA7,yes,
JP,AD07GX98FH,yes,
JP,AD08GFF9LT,no,True
JP,AD09GFP8X8,yes,
JP,AD07KS8LW8,no,True
JP,AD00N0OHEM,yes,
JP,AD07CLPYFZ,no,True
JP,AD00NAQH8J,yes,
JP,AD098RGQTR,no,True
JP,AD098D8WV8,yes,
JP,AD07XW9RFW,no,True
JP,AD099W8968,yes,
JP,AD088Q8XS6,yes,
JP,AD0009EXLY,yes,
JP,AD00UT788O,yes,
JP,AD07RMJR8N,no,True
JP,AD00TPE8IM,no,True
JP,AD07S87THL,yes,
JP,AD078RYGG8,yes,
JP,AD008W8Y0S,no,True
JP,AD00J8DK78,yes,
JP,AD07YND8L8,no,False
JP,AD078N7J87,yes,
JP,AD07WYXM8G,no,True
JP,AD07JFQ78N,yes,
JP,AD098WKQP8,yes,
JP,AD0889K8ML,yes,
JP,AD0087ASIA,no,True
JP,AD007WQFPZ,yes,
JP,AD008J88YQ,yes,
JP,AD0888PR8F,no,False
JP,AD07QYZ9YR,yes,
JP,AD00Q8STLI,yes,
JP,AD07Z88M9L,yes,
JP,AD08DR988F,no,True
JP,AD000XXDWM,yes,
JP,AD07ZNN88Z,yes,
