region,ad_id,is_success,is_sever
IN,AD078TG8KN,no,True
IN,AD07T88RX8,yes,
IN,AD08W86G8K,yes,
IN,AD088R8KHR,yes,
IN,AD08P8THW8,yes,
IN,AD07SZL9WF,no,True
IN,AD0787TNJS,yes,
IN,AD08WKFKHJ,yes,
IN,AD00888CRR,yes,
IN,AD098SZD88,no,True
IN,AD08ZMTTQ7,yes,
IN,AD07N8MSZF,no,True
IN,AD087QK8P7,no,True
IN,AD0786SK8J,yes,
IN,AD098768H8,yes,
IN,AD088WJRMG,no,True
IN,AD088J8QWF,yes,
IN,AD088G8JCP,no,True
IN,AD08Z8CFV8,yes,
IN,AD08HLTF88,yes,
IN,AD09DZ8FNM,no,False
IN,AD0968G8VH,yes,
IN,AD08PZ7VVT,no,True
IN,AD076ZH8ZJ,yes,
IN,AD098HCLPJ,no,True
IN,AD087JCY8,yes,
IN,AD07TGH6LQ,yes,
IN,AD09CL9MWM,no,False
IN,AD08MFS8X8,yes,
IN,AD098W8PWW,no,True
IN,AD088MK7R8,yes,
IN,AD08Y8ZW89,no,False
IN,AD00VJZ0OC,no,True
IN,AD08IAE0LS,yes,
IN,AD08CF87N8,yes,
IN,AD08FRQN87,no,True
IN,AD07Z8YVP7,yes,
IN,AD089MS8XQ,yes,
IN,AD078XPRC8,no,True
IN,AD07N7NK88,yes,
IN,AD08S8N8VC,no,True
IN,AD07CQ8SY7,yes,
IN,AD07SVFSZ8,yes,
IN,AD096XMD6T,yes,
IN,AD08W869L,no,True
IN,AD07W8VSRQ,yes,
IN,AD08PL889X,yes,
IN,AD08JWS8CR,yes,
IN,AD08VWKMDT,no,True
IN,AD07QF7R69,yes,
IN,AD098XK86L,yes,
IN,AD08HGT7KT,yes,
IN,AD00IP6C8L,yes,
IN,AD08KP8L86,yes,
IN,AD08RJ87PK,yes,
IN,AD07N8RQ6W,yes,
IN,AD07X6N9GG,yes,
IN,AD08XJPCTR,yes,
IN,AD08NJKQ8J,yes,
IN,AD09FZD868,yes,
IN,AD00798D8Q,yes,
IN,AD0866L8DS,yes,
IN,AD078TJ886,yes,
IN,AD07YJ88N8,no,True
IN,AD0998X8MT,yes,
IN,AD096KPM8K,yes,
IN,AD07JZJRDD,yes,
IN,AD08SF88H8,no,True
IN,AD09L8J6DF,yes,
IN,AD07WWDKTV,no,True
IN,AD07VQGVL6,yes,
IN,AD08LYGFYF,yes,
IN,AD07QHVWNX,no,True
IN,AD08P7LG88,no,True
IN,AD07S8LX87,yes,
IN,AD007E9DE9,no,True
IN,AD08FKXCJN,yes,
IN,AD0777K7LR,yes,
IN,AD07NSSY8W,yes,
IN,AD078P8ZG8,yes,
IN,AD098H8NYG,yes,
IN,AD07TPLXZL,yes,
IN,AD07VPHP69,yes,
IN,AD08FDJ886,no,True
IN,AD07YNL88Z,yes,
IN,AD08HSSSQ8,yes,
IN,AD08PP89K8,yes,
IN,AD098LS8MP,yes,
IN,AD098DM6DK,yes,
IN,AD08YX88JK,yes,
IN,AD09FY88YT,yes,
IN,AD07W8P8VC,no,True
IN,AD088VT6JY,yes,
IN,AD08H8VQHK,yes,
IN,AD0889RHH6,no,False
IN,AD0988NXW,yes,
IN,AD097HGPL8,no,False
IN,AD086D7UJM,yes,
IN,AD078WKJDZ,yes,
IN,AD08XGDN8T,yes,
IN,AD097GM8SF,no,True
IN,AD08P8KMKZ,yes,
IN,AD098HP968,no,True
IN,AD079QQZZJ,yes,
IN,AD09F6Q8G6,yes,
IN,AD0989TRXY,yes,
IN,AD07JYZNJD,yes,
IN,AD07L8N8TJ,no,False
IN,AD0888LND7,yes,
IN,AD0787DFGJ,yes,
IN,AD07DPV9NR,no,False
IN,AD08JQY8J9,yes,
IN,AD07V8S868,no,True
IN,AD08YZ8RXS,yes,
IN,AD08DLTWNT,yes,
IN,AD07G88YNZ,no,True
IN,AD088IR8NU,yes,
IN,AD08TH8JZM,yes,
IN,AD07LFYFLC,yes,
IN,AD07L88RZX,no,True
IN,AD08H68888,no,True
IN,AD0889MWS8,yes,
IN,AD07RJHVZR,yes,
IN,AD08R6F88N,yes,
IN,AD07QGW8C8,yes,
IN,AD000TGEJT,yes,
IN,AD088J868W,yes,
IN,AD07HNYZFK,yes,
IN,AD09LHWSY8,yes,
IN,AD08SQJY8Q,no,True
IN,AD08FJSGY8,yes,
IN,AD088FXX88,yes,
IN,AD07HGLM86,no,False
IN,AD08MF8GCX,yes,
IN,AD09CNR8RF,yes,
IN,AD008YW8CY,yes,
IN,AD07T88888,no,True
IN,AD07DZDJDR,yes,
IN,AD08888MV9,no,True
IN,AD0977GVFX,yes,
IN,AD099K8NTL,no,False
IN,AD078M8GL8,yes,
IN,AD09K88789,no,False
IN,AD088W8CFL,yes,
IN,AD0888KDSX,yes,
IN,AD09D86QT7,yes,
IN,AD09J8MYXQ,yes,
IN,AD078TK7NW,no,True
IN,AD088GTXS6,no,True
IN,AD097X8PQD,no,False
IN,AD07Y8YYDZ,yes,
IN,AD008FYNT8,yes,
IN,AD07CKPWJ6,yes,
IN,AD07RZ7L8K,no,True
IN,AD008DYIZE,no,False
IN,AD076ZL8RD,no,True
IN,AD09888FV8,yes,
IN,AD08MC87J8,yes,
IN,AD08CGKFW8,no,True
IN,AD08NYYP88,yes,
IN,AD07S7QXSK,yes,
IN,AD08QSTTHW,no,True
IN,AD0997VPK8,no,True
IN,AD088T7QW6,yes,
IN,AD00VK8MCM,yes,
IN,AD00S0LAPL,no,True
