region,ad_id,is_success,is_sever
JP,AD0088UP8R,yes,
JP,AD008Y9IXZ,yes,
JP,AD08H6MF6Z,yes,
JP,AD08WXSC99,no,False
JP,AD09F9KZ98,yes,
JP,AD088WDQHZ,yes,
JP,AD08JVYJGQ,yes,
JP,AD000W6SNF,yes,
JP,AD09C8KC8Z,yes,
JP,AD08GLMGDC,yes,
JP,AD08G8PWN9,yes,
JP,AD09FPY7DQ,yes,
JP,AD000HLSMQ,yes,
JP,AD098QKHNY,yes,
JP,AD07CX8ZNK,yes,
JP,AD088C8XCL,yes,
JP,AD07V8PZFX,yes,
JP,AD08MRXN8G,yes,
JP,AD07XLCFSS,yes,
JP,AD07QJ886K,no,True
JP,AD09NN88L9,yes,
JP,AD008AUNYI,yes,
JP,AD000TGHHT,yes,
JP,AD087JPUR8,yes,
JP,AD087CYHQ7,yes,
JP,AD07D8YHSH,yes,
JP,AD08XGSTY6,no,False
JP,AD00D6OXZI,no,False
JP,AD098D98VY,yes,
JP,AD07KXY87G,yes,
JP,AD0998CYHG,yes,
JP,AD078DT6GJ,yes,
JP,AD00888N8X,yes,
JP,AD08GKVF8Y,yes,
JP,AD008V80O6,yes,
JP,AD09C8P789,yes,
JP,AD08HHGNKQ,yes,
JP,AD00CZ6OI7,yes,
JP,AD086C98GZ,no,False
JP,AD09HRK888,yes,
JP,AD008I0EXO,no,True
JP,AD09KW88VV,no,True
JP,AD088H8KVX,yes,
JP,AD09L88HYN,no,False
JP,AD096868G8,yes,
JP,AD00UF8VOF,yes,
JP,AD098CXHRF,yes,
JP,AD07YLQ9WS,yes,
JP,AD00UZCC88,yes,
JP,AD07SSRTZH,yes,
JP,AD0086GLW0,yes,
JP,AD08NC0Y7L,yes,
JP,AD08QMJ888,yes,
JP,AD07H9GM98,yes,
JP,AD008UJMHJ,yes,
JP,AD09MRZ998,yes,
JP,AD09P78VN8,no,False
JP,AD07QPZK8T,no,False
JP,AD09GK889G,yes,
JP,AD09G9YKC8,no,False
JP,AD0788D8Z8,yes,
JP,AD078C6VRL,no,True
JP,AD088KN8KC,yes,
JP,AD078G8HQD,yes,
JP,AD0099V8IA,yes,
JP,AD09GP8988,yes,
JP,AD009PDCHK,yes,
JP,AD07MGTJ8H,yes,
JP,AD0988PZ8H,yes,
JP,AD088HPGQ9,no,False
JP,AD007R9FIF,yes,
JP,AD00GLJGMN,yes,
JP,AD008MWTJQ,yes,
JP,AD078L8CHR,no,False
JP,AD09K788VH,yes,
JP,AD09R78J8H,yes,
JP,AD08VS8GD8,yes,
JP,AD09NN88TW,no,True
JP,AD0808PHI8,no,True
JP,AD08G8G8DV,yes,
JP,AD09JVKV88,yes,
JP,AD00HUK89Q,yes,
JP,AD09JKT8GM,yes,
JP,AD0008XKR8,yes,
JP,AD08NYL8T8,yes,
JP,AD078ZTJ9X,yes,
JP,AD07H87LQS,no,False
JP,AD09HJQKZ8,no,True
JP,AD008Z6PXK,yes,
JP,AD08HCVWWD,no,False
JP,AD0788C8J8,no,True
JP,AD07L88MMV,yes,
JP,AD088KS8L8,yes,
JP,AD09FQFN8Z,yes,
JP,AD09H8XMCW,no,False
JP,AD08PKXGQJ,no,True
JP,AD08XNN8SQ,yes,
JP,AD07QR8LH8,yes,
JP,AD00GLF9HJ,yes,
JP,AD08C7XG86,yes,
JP,AD08JRXFQM,yes,
JP,AD06ZY9YJC,yes,
JP,AD09K77X88,yes,
JP,AD00EN6QDS,yes,
JP,AD09FFX8V,no,True
JP,AD008JWG0L,no,True
JP,AD08X8W8WJ,no,True
JP,AD07MW988W,yes,
JP,AD078P688Q,yes,
JP,AD00TTXU8O,yes,
JP,AD089Z6DQ8,yes,
JP,AD0888YMDN,yes,
JP,AD078FSPSY,no,True
JP,AD008EHYH8,yes,
JP,AD088XWSLV,yes,
JP,AD07DZX78K,yes,
JP,AD07GPW9QV,yes,
JP,AD078DZXCG,yes,
JP,AD0869UEVJ,yes,
JP,AD008G86MJ,yes,
JP,AD08ZHJYMY,no,True
JP,AD07Y8VSVK,yes,
JP,AD08HCFRKL,no,False
JP,AD0089R889,yes,
JP,AD08KZDLN8,no,False
JP,AD07X9TQY8,yes,
JP,AD08S6WDQW,yes,
JP,AD000W7O0Z,no,True
JP,AD09FFFKWY,no,True
JP,AD09R86MSF,yes,
JP,AD008EI8QP,yes,
JP,AD07FS86NR,yes,
JP,AD08FDPJMF,yes,
JP,AD0888N8RZ,yes,
JP,AD09KM8PG7,no,True
JP,AD09HPYT8F,yes,
JP,AD097XP8X8,yes,
JP,AD08H8MJRC,yes,
JP,AD08868GDV,no,True
JP,AD08WPPX88,yes,
JP,AD08K886M8,yes,
